                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9964,                 2.3056,                 1.2396,                0.60533,                0.53428,                0.57012,                0.40406,                0.96782,                 1.6041,                 1.1968,             0.00041298,             0.00041298,             0.00041298
                      2,                 1.0175,                 1.5469,                 1.2301,                0.63031,                0.52734,                0.55519,                0.38417,                 1.0811,                   1.54,                 1.3551,             0.00079679,             0.00079679,             0.00079679
                      3,                 1.0232,                 1.5165,                 1.2397,                 0.6917,                 0.5139,                0.58378,                0.39708,                 1.0767,                  1.745,                 1.2779,              0.0011476,              0.0011476,              0.0011476
                      4,                0.99738,                 1.4122,                 1.2325,                0.61689,                0.50334,                 0.5645,                0.38543,                 1.0758,                 1.5206,                 1.2943,              0.0011015,              0.0011015,              0.0011015
                      5,                0.98568,                 1.3218,                 1.2262,                0.64853,                0.57029,                0.64417,                0.46207,                0.99325,                 1.2841,                 1.2201,               0.001052,               0.001052,               0.001052
                      6,                0.94645,                 1.2305,                 1.2021,                0.70879,                0.60948,                 0.6636,                0.48472,                0.97209,                 1.1876,                   1.19,              0.0010025,              0.0010025,              0.0010025
                      7,                0.92369,                 1.1476,                 1.1816,                0.73976,                 0.6247,                0.69029,                0.50363,                 0.9483,                 1.1662,                 1.1869,               0.000953,               0.000953,               0.000953
                      8,                0.90612,                 1.0762,                 1.1681,                0.78893,                 0.6504,                0.73781,                0.55179,                0.89381,                0.93197,                 1.1508,              0.0009035,              0.0009035,              0.0009035
                      9,                0.88328,                  1.022,                 1.1631,                0.83843,                0.68379,                 0.7708,                0.57914,                0.89003,                0.93418,                 1.1593,               0.000854,               0.000854,               0.000854
                     10,                0.87184,                0.98579,                 1.1446,                0.79355,                0.65714,                0.73329,                0.55979,                0.86838,                0.98315,                 1.1267,              0.0008045,              0.0008045,              0.0008045
                     11,                0.84837,                0.95636,                 1.1367,                0.82121,                0.68493,                0.77405,                0.58478,                0.86063,                0.89657,                 1.1059,               0.000755,               0.000755,               0.000755
                     12,                0.84937,                0.93689,                  1.143,                0.80268,                0.68959,                0.76362,                0.57891,                 0.8725,                0.87423,                 1.1156,              0.0007055,              0.0007055,              0.0007055
                     13,                0.81238,                 0.8884,                 1.1196,                0.81867,                0.71012,                0.79165,                0.60982,                 0.8517,                0.81917,                 1.1151,               0.000656,               0.000656,               0.000656
                     14,                0.78771,                0.84909,                 1.1037,                0.76313,                0.69291,                0.76819,                0.59871,                0.83642,                0.90033,                 1.1023,              0.0006065,              0.0006065,              0.0006065
                     15,                0.78789,                0.85057,                 1.1058,                0.80422,                0.70976,                0.79956,                0.63027,                0.79643,                 0.7907,                 1.0753,               0.000557,               0.000557,               0.000557
                     16,                 0.7219,                0.77679,                 1.0488,                0.80989,                0.74607,                0.82661,                  0.644,                0.80017,                0.77619,                  1.064,              0.0005075,              0.0005075,              0.0005075
                     17,                0.70758,                0.72067,                 1.0446,                0.84499,                0.74288,                0.82607,                0.65634,                0.78424,                0.71021,                 1.0644,               0.000458,               0.000458,               0.000458
                     18,                0.68585,                0.68177,                  1.029,                0.83764,                 0.7139,                0.80046,                0.64496,                0.77443,                0.72238,                 1.0559,              0.0004085,              0.0004085,              0.0004085
                     19,                0.66564,                0.65729,                  1.025,                0.85965,                0.73478,                0.83547,                0.66897,                0.77124,                0.68053,                 1.0446,               0.000359,               0.000359,               0.000359
                     20,                0.65342,                 0.6337,                 1.0154,                0.86532,                0.76717,                0.84044,                0.66751,                0.77248,                 0.6843,                  1.043,              0.0003095,              0.0003095,              0.0003095
                     21,                0.65864,                0.61641,                 1.0081,                0.84348,                0.78013,                0.84811,                0.68519,                0.74304,                0.63132,                 1.0419,                0.00026,                0.00026,                0.00026
                     22,                0.62941,                0.58318,                0.99658,                0.87935,                0.76476,                0.85049,                0.69029,                0.73935,                0.61685,                 1.0303,              0.0002105,              0.0002105,              0.0002105
                     23,                0.62421,                0.57087,                0.99208,                0.86692,                0.77172,                0.85537,                0.70108,                0.71735,                0.61066,                   1.02,               0.000161,               0.000161,               0.000161
                     24,                0.61515,                0.54934,                0.98564,                 0.8798,                0.77192,                0.86046,                0.70154,                0.72434,                0.59232,                 1.0288,              0.0001115,              0.0001115,              0.0001115
                     25,                0.59549,                0.52233,                0.97346,                0.87746,                0.78053,                0.86121,                0.70514,                0.72537,                0.59083,                 1.0246,                6.2e-05,                6.2e-05,                6.2e-05
